player,team,player_id,Total_Tiros,Partidos_Jugados,Pases_Completados,Recuperaciones,Faltas_Recibidas,Tiros_por_Partido,Pases_por_Partido,Recuperaciones_por_Partido,Faltas_por_Partido,Participacion_Total,Participacion_Por_Partido,Indice_Peligro,Indice_Defensivo
Kasper Schmeichel,Denmark,3815.0,0,3,72,15,0,0.0,24.0,5.0,0.0,87,29.0,0,22
Kellyn Kai Perry-Acosta,United States,13035.0,0,2,10,1,0,0.0,5.0,0.5,0.0,11,5.5,0,2
Kenneth Taylor,Netherlands,21879.0,0,1,9,0,0,0.0,9.0,0.0,0.0,9,9.0,0,0
Kamil Grosicki,Poland,5667.0,0,1,4,0,0,0.0,4.0,0.0,0.0,4,4.0,0,0
Karim Boudiaf,Qatar,124492.0,0,3,94,7,1,0.0,31.33,2.33,0.33,102,34.0,0,16
Jun-Ho Son,South Korea,40558.0,0,3,56,3,0,0.0,18.67,1.0,0.0,59,19.67,0,8
Jurriën David Norman Timber,Netherlands,21809.0,0,4,286,15,4,0.0,71.5,3.75,1.0,305,76.25,2,43
Kalvin Phillips,England,4706.0,0,2,18,0,0,0.0,9.0,0.0,0.0,18,9.0,0,1
Kamal Miller,Canada,23828.0,0,3,184,11,3,0.0,61.33,3.67,1.0,198,66.0,1,29
João Mário Naval da Costa Eduardo,Portugal,4272.0,0,2,37,6,0,0.0,18.5,3.0,0.0,43,21.5,0,9
Juan Marcos Foyth,Argentina,21081.0,0,1,3,0,0,0.0,3.0,0.0,0.0,3,3.0,0,0
Charles De Ketelaere,Belgium,32688.0,0,1,3,0,1,0.0,3.0,0.0,1.0,4,4.0,0,0
Sergio Rochet Álvarez,Uruguay,36710.0,0,3,53,11,0,0.0,17.67,3.67,0.0,64,21.33,0,16
Seung-Gyu Kim,South Korea,37641.0,0,4,94,15,0,0.0,23.5,3.75,0.0,109,27.25,0,24
Seyed Hossein Hosseini,Iran,125823.0,0,2,22,10,0,0.0,11.0,5.0,0.0,32,16.0,0,12
Seyed Majid Hosseini,Iran,5228.0,0,3,89,20,1,0.0,29.67,6.67,0.33,110,36.67,0,28
Sebastian Szymański,Poland,4664.0,0,2,27,5,3,0.0,13.5,2.5,1.5,35,17.5,1,7
Salman Mohammed Al Faraj,Saudi Arabia,5178.0,0,1,10,3,0,0.0,10.0,3.0,0.0,13,13.0,0,4
Sam Adekugbe,Canada,29758.0,0,3,62,5,0,0.0,20.67,1.67,0.0,67,22.33,0,11
Sami Khalil Al Naji,Saudi Arabia,51632.0,0,1,15,3,0,0.0,15.0,3.0,0.0,18,18.0,0,4
Samuel Yves Oum Gwet,Cameroon,8591.0,0,2,52,10,1,0.0,26.0,5.0,0.5,63,31.5,0,15
Alisson Ramsés Becker,Brazil,5547.0,0,4,80,23,0,0.0,20.0,5.75,0.0,103,25.75,0,31
Alvaro José Zamora Mata,Costa Rica,184468.0,0,1,5,0,0,0.0,5.0,0.0,0.0,5,5.0,0,0
Boualem Khoukhi,Qatar,124493.0,0,3,167,16,7,0.0,55.67,5.33,2.33,190,63.33,3,32
Brandon Aguilera Zamora,Costa Rica,108340.0,0,3,25,9,2,0.0,8.33,3.0,0.67,36,12.0,1,11
Bartosz Bereszyński,Poland,5673.0,0,4,121,15,4,0.0,30.25,3.75,1.0,140,35.0,2,27
Bassam Hisham Al Rawi,Qatar,124503.0,0,1,48,0,1,0.0,48.0,0.0,1.0,49,49.0,0,4
Benjamin Pavard,France,5476.0,0,1,81,3,0,0.0,81.0,3.0,0.0,84,84.0,0,11
Bilal El Khannous,Morocco,156734.0,0,1,20,1,1,0.0,20.0,1.0,1.0,22,22.0,0,3
Ayase Ueda,Japan,38285.0,0,1,7,3,2,0.0,7.0,3.0,2.0,12,12.0,1,3
Ismael Koné,Canada,133229.0,0,3,96,7,1,0.0,32.0,2.33,0.33,104,34.67,0,16
Ivan Ilić,Serbia,30179.0,0,1,19,2,0,0.0,19.0,2.0,0.0,21,21.0,0,3
Josip Šutalo,Croatia,37148.0,0,1,62,4,0,0.0,62.0,4.0,0.0,66,66.0,0,10
José Andrés Guardado Hernández,Mexico,5563.0,0,1,11,1,0,0.0,11.0,1.0,0.0,12,12.0,0,2
