tiros_totales,xg_total,goles,pases_totales,pases_completos,pct_pases,intercepciones,faltas
1.0,0.048683427,0.0,165.0,153.0,92.72727272727272,2.0,4.0
1.0,0.010946972,0.0,208.0,179.0,86.0576923076923,6.0,12.0
4.0,0.494927794,1.0,104.0,68.0,65.38461538461539,1.0,2.0
2.0,0.331586645,0.0,138.0,97.0,70.28985507246377,1.0,9.0
1.0,0.046073906,0.0,168.0,138.0,82.14285714285714,1.0,3.0
2.0,0.522077037,1.0,98.0,79.0,80.61224489795919,4.0,1.0
2.0,0.689242366,1.0,210.0,180.0,85.71428571428571,5.0,1.0
11.0,1.045874203,2.0,76.0,48.0,63.1578947368421,0.0,3.0
9.0,0.642520471,0.0,70.0,50.0,71.42857142857143,1.0,0.0
4.0,0.16560118299999999,0.0,112.0,95.0,84.82142857142857,3.0,4.0
2.0,0.0178921875,0.0,222.0,192.0,86.48648648648648,4.0,3.0
4.0,0.197483729,0.0,182.0,154.0,84.61538461538461,4.0,10.0
8.0,1.109480678,3.0,40.0,27.0,67.5,0.0,1.0
7.0,0.53383544,1.0,164.0,126.0,76.82926829268293,2.0,0.0
5.0,0.258765465,0.0,277.0,251.0,90.61371841155234,2.0,7.0
6.0,1.128953889,1.0,163.0,148.0,90.79754601226993,1.0,3.0
0.0,0.0,0.0,103.0,70.0,67.96116504854369,1.0,8.0
0.0,0.0,0.0,109.0,72.0,66.05504587155964,5.0,5.0
0.0,0.0,0.0,89.0,71.0,79.7752808988764,2.0,1.0
0.0,0.0,0.0,61.0,39.0,63.934426229508205,2.0,0.0
0.0,0.0,0.0,94.0,80.0,85.1063829787234,0.0,0.0
0.0,0.0,0.0,191.0,157.0,82.19895287958116,0.0,0.0
0.0,0.0,0.0,60.0,44.0,73.33333333333333,0.0,0.0
0.0,0.0,0.0,240.0,175.0,72.91666666666666,8.0,3.0
0.0,0.0,0.0,58.0,57.0,98.27586206896551,1.0,2.0
0.0,0.0,0.0,71.0,62.0,87.32394366197182,3.0,2.0
0.0,0.0,0.0,77.0,48.0,62.33766233766234,0.0,0.0
0.0,0.0,0.0,150.0,121.0,80.66666666666666,4.0,5.0
0.0,0.0,0.0,57.0,48.0,84.21052631578947,2.0,2.0
0.0,0.0,0.0,88.0,81.0,92.04545454545455,1.0,0.0
0.0,0.0,0.0,194.0,167.0,86.08247422680412,3.0,1.0
0.0,0.0,0.0,89.0,68.0,76.40449438202246,4.0,3.0
0.0,0.0,0.0,55.0,50.0,90.9090909090909,0.0,0.0
0.0,0.0,0.0,113.0,94.0,83.1858407079646,3.0,2.0
0.0,0.0,0.0,170.0,143.0,84.11764705882354,1.0,7.0
0.0,0.0,0.0,119.0,92.0,77.31092436974791,2.0,0.0
0.0,0.0,0.0,372.0,330.0,88.70967741935483,9.0,13.0
0.0,0.0,0.0,179.0,169.0,94.41340782122904,2.0,2.0
0.0,0.0,0.0,186.0,123.0,66.12903225806451,0.0,0.0
0.0,0.0,0.0,140.0,129.0,92.14285714285714,2.0,4.0
0.0,0.0,0.0,135.0,122.0,90.37037037037037,1.0,0.0
0.0,0.0,0.0,80.0,72.0,90.0,1.0,1.0
0.0,0.0,0.0,193.0,151.0,78.23834196891191,6.0,5.0
0.0,0.0,0.0,345.0,305.0,88.40579710144928,13.0,4.0
0.0,0.0,0.0,327.0,306.0,93.57798165137615,12.0,3.0
0.0,0.0,0.0,84.0,56.0,66.66666666666666,0.0,0.0
0.0,0.0,0.0,159.0,111.0,69.81132075471697,0.0,0.0
