ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,rival,resultado,fecha,50_50,bad_behaviour_card,ball_recovery_offensive,block_offensive,foul_committed_penalty,foul_won_penalty,goalkeeper_punched_out,pass_cut_back,pass_inswinging,shot_follows_dribble,shot_one_on_one,clearance_other,block_save_block,dribble_no_touch,pass_miscommunication
,,,,,,,,,,,,,,,0.028974,,,,,,,,,,,,,48129b45-a89c-4c55-8540-501b51ff68fe,1506,,,"[96.1, 45.1]",3869151,30,,,,,-1.9100889,,Left Foot,,,"[95.5, 43.4]",,Ground Pass,1.8027756,,Incomplete,,Alexis Mac Allister,27886.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,46,Argentina,779,"['1a5f674f-d77b-4cf4-91e5-df2c7b8ce783', '3561a8b6-8d3c-420d-8aaa-9da8413294fa']",4,,,,,,,,,,,,,,,,,Argentina,779,00:30:04.913,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.261802,,,,,,,,,,,,,45b23bcd-b77f-48c1-b531-1584466ef8f1,1533,,,"[86.1, 41.8]",3869151,30,,,,,1.1659045,,Left Foot,,,"[86.7, 43.2]",,Ground Pass,1.5231546,,Incomplete,,Alexis Mac Allister,27886.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,47,Argentina,779,"['306d42d7-7496-444f-a24a-9cc23f476f94', '82b4d839-487d-4d19-b848-28c10b9ed626', 'e5714707-d674-412e-93c8-242f98efbad3']",32,,,,,,,,,,,,,,,,,Argentina,779,00:30:32.551,Pass,True,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.110713,,,,,,,,,,,,,a0ac6815-1319-4dd0-8753-f57353737ec6,1629,,,"[111.3, 69.7]",3869151,34,,,,,-1.3899968,,Left Foot,True,,"[116.4, 41.8]",,High Pass,28.362299,,Incomplete,,Cristian Gabriel Romero,20572.0,,,,,Free Kick,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,52,Argentina,779,"['51e0e759-f98f-4d55-9851-f82a7e6cfe28', '7e83e716-1f53-4bc9-b32b-f44c07271a88']",23,,,,,,,,,,,,,,,,,Argentina,779,00:34:23.838,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.018658,,,,,,,,,,,,,e558a1e7-dc5c-4add-8be8-67e995b210eb,1637,,,"[102.9, 65.6]",3869151,34,,,,,-2.0344439,,Left Foot,,,"[95.5, 50.8]",,Ground Pass,16.546904,,,,Alexis Mac Allister,27886.0,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,52,Argentina,779,"['33f2adf3-efd8-4a38-91b3-672cbcff41bd', '956b2fbd-1b4b-4a49-a01b-611aca5f5cbe']",31,,,,,,,,,,,,,,,,,Argentina,779,00:34:31.598,Pass,True,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.610726,,,,,,,,,,,,,689a98e0-40a4-4b57-a4a9-35f81dd17f3b,1813,,,"[56.3, 22.1]",3869151,40,,,,,1.5707964,,Left Foot,,,"[56.3, 28.6]",,Ground Pass,6.5,,,,Enzo Fernandez,38718.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,61,Argentina,779,"['057c6807-8fd1-477e-9ebe-32b0271c92c4', '10b2e667-06de-4387-a47d-ae7cd27a15d6']",11,,,,,,,,,,,,,,,,,Argentina,779,00:40:11.223,Pass,True,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2.045757,,,,,,,,,,,,,51ea8346-efb5-4c7f-a987-e60f718405cc,1876,,,"[65.6, 37.2]",3869151,41,,,,,-1.4259838,,Left Foot,,,"[69.1, 13.2]",,Ground Pass,24.253866,,,,Nicolás Hernán Otamendi,3090.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,61,Argentina,779,"['2ead06e0-c625-4d35-b765-1d440baf1144', 'ae4e902d-6a09-4bf8-8de5-86a8452a0a18']",11,,,,,,,,,,,,,,,,,Argentina,779,00:41:11.676,Pass,True,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.024813,,,,,,,,,,,,,560d6dcc-5426-4ec2-8620-37af03dbf595,2003,,,"[74.4, 73.8]",3869151,43,,,,,-2.603218,,Left Foot,,,"[67.2, 69.5]",,Ground Pass,8.386298,,,,Alejandro Darío Gómez,7006.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,65,Argentina,779,['0f33b90b-8648-40b2-af37-70e370760ace'],53,,,,,,,,,,,,,,,,,Argentina,779,00:43:53.971,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.961557,,,,,,,,,,,,,a09f2164-139b-4a43-b765-841dfeb98d6c,2161,,,"[61.0, 40.1]",3869151,45,,,,,2.9699645,,Right Foot,,,"[46.0, 42.7]",,Ground Pass,15.223666,,,,Enzo Fernandez,38718.0,,,,,Kick Off,2,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,71,Argentina,779,['d1f87898-8a1d-49ef-8987-01a5b996fa6a'],0,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.637,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.972292,,,,,,,,,,,,,43694cc3-b56b-4a32-86f8-68ce9dfc0737,2225,,,"[57.5, 46.8]",3869151,46,,,,,-1.4559197,,No Touch,,,"[58.1, 41.6]",,Ground Pass,5.234501,True,,,Alexis Mac Allister,27886.0,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,73,Argentina,779,['89114fea-570e-4099-92b9-3067bdfade7e'],5,,,,,,,,,,,,,,,,,Argentina,779,00:01:05.891,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.064543,,,,,,,,,,,,,4e685d61-9ac9-454f-aac4-c4e476e2acbc,2231,,,"[63.7, 42.3]",3869151,46,,,,,-0.51681876,,Left Foot,,,"[77.6, 34.4]",,Ground Pass,15.988121,,,,Julián Álvarez,29560.0,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,73,Argentina,779,['463538b4-cc22-4176-be0f-40127c58af87'],8,,,,,,,,,,,,,,,,,Argentina,779,00:01:08.274,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
